,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,GarageArea,1stFlrSF,YearBuilt,BsmtFinSF1,LotArea,OverallCond,SalePrice_log
870,5,894,1,894,308,894,1962,0,6600,5,11.603679828238693
871,6,1682,2,804,523,804,1998,505,8750,5,12.20856952572876
872,5,910,2,105,414,910,1953,0,8892,7,11.661345470088502
873,5,1268,1,832,288,1036,1949,375,12144,7,11.79810440720389
874,5,1131,1,676,200,676,1941,0,5720,6,11.104957226643945
875,8,2610,2,1184,550,1184,2007,64,9000,5,12.623061104072981
876,4,1040,2,1064,648,1040,1963,633,25286,5,11.792449349720545
877,9,2224,3,1462,738,1462,2004,1170,8834,5,12.765688433465597
878,5,1155,2,1109,576,1155,1961,899,11782,7,11.904967552746252
879,5,864,1,864,336,864,1978,646,7000,8,11.824079893607152
880,5,1090,2,1090,450,1090,2005,980,7024,5,11.964001084330445
881,7,1717,2,1156,400,1187,1990,902,13758,5,12.141534124392603
882,6,1593,2,808,389,808,1992,0,9636,5,12.089538829274222
883,4,2230,1,795,440,954,1912,0,6204,5,11.682668239557323
884,5,892,1,892,288,892,1967,432,7150,5,11.512925464970229
885,9,1709,2,1698,506,1709,1999,1238,5119,5,12.703509032177148
886,5,1712,2,1626,588,1712,1959,528,8393,5,11.884489021402711
887,5,1393,1,816,300,872,1955,0,16466,7,11.816726919301892
889,6,1505,2,1505,505,1505,1953,1024,12160,4,11.915051671812877
890,5,924,2,672,576,672,1949,0,8064,7,11.719126295554126
891,6,1683,2,918,440,918,1978,226,11184,5,12.058152515453552
892,6,1068,1,1059,264,1068,1963,663,8414,8,11.947949375319936
893,5,1383,1,1383,354,1383,1954,1064,13284,5,12.013700752882718
895,6,1796,2,780,483,983,1963,400,7056,5,11.84939770159144
896,4,951,1,951,327,951,1936,285,8765,6,11.575900264131617
899,5,1236,1,912,288,1236,1961,465,6993,7,11.813030057420567
900,4,858,1,858,684,858,1971,322,7340,6,11.608235644774552
901,5,1306,1,992,756,1306,1957,860,8712,7,11.938193200374572
902,7,1509,2,783,393,807,2003,0,7875,5,12.100712129872347
903,7,1670,3,1670,690,1670,2006,0,14859,5,12.388394202324129
904,5,902,1,876,288,902,1967,599,6173,6,11.740061037553975
905,5,1063,1,1056,280,1063,1954,354,9920,5,11.759785542901755
906,8,1636,3,1623,865,1636,2006,63,13501,5,12.449018824140563
907,7,2057,1,1017,180,1020,1936,223,11500,7,12.429216196844383
908,5,902,2,864,484,902,1983,301,8885,5,11.782952602183288
909,6,1484,2,742,390,742,2005,0,12589,5,12.066810578196666
910,5,2274,2,1105,480,1105,1960,443,11600,5,11.946654038351252
911,5,1268,1,1268,252,1268,1977,196,9286,7,11.874090314181814
912,5,1015,1,768,450,1015,1925,489,6120,7,11.385092093460344
913,5,2002,3,1001,871,1001,1949,284,6270,6,11.884489021402711
914,6,1224,2,612,528,612,2009,294,3000,5,12.065274916913605
915,4,1092,1,546,286,546,1970,0,2001,5,11.225243392518447
916,2,480,1,480,308,480,1949,50,9000,3,10.47194980911048
917,4,1229,1,1134,284,1229,1956,1059,17140,6,11.813030057420567
918,7,2127,3,1104,833,912,1991,48,13125,5,12.380025952653611
919,6,1414,2,1184,601,1414,1958,528,11029,8,12.081076155355488
920,6,1721,2,928,471,936,1994,814,8462,5,12.211060187041213
921,5,2200,0,1272,0,1272,1900,1084,8777,7,11.890676734510876
922,6,1316,2,1316,397,1316,2005,28,10237,5,12.043494890772815
923,6,1617,2,1604,533,1617,1993,165,8012,5,12.170445467887022
924,6,1686,2,1686,612,1686,1980,625,10240,6,12.24288661865289
925,5,1126,2,1126,540,1126,1977,767,15611,6,12.072541252905651
926,8,2374,3,1181,656,1234,2003,0,11999,5,12.560244459250788
927,7,1978,2,832,486,1098,1968,552,9900,5,12.078239274020289
929,7,2236,2,964,642,993,1997,0,13006,5,12.310432660854417
930,8,1466,3,1466,610,1466,2007,16,8925,5,12.211060187041213
931,5,925,1,925,429,925,1965,338,9100,6,11.67419361256635
933,7,1500,2,1500,570,1500,2004,20,8487,5,12.154779351142624
935,4,747,2,600,528,747,1926,0,5825,5,11.288531131754366
936,7,1200,2,1176,555,1200,2003,833,10083,5,12.127570417375216
937,7,1971,2,1113,689,1113,2005,341,9675,5,12.441144767709657
938,7,1962,3,1391,868,1391,2006,464,8760,5,12.38755635142507
939,7,2403,1,1032,349,1207,1940,0,24090,7,12.406561506279576
940,6,1728,2,1728,574,1728,1976,936,12640,5,11.924372644755941
941,7,2060,2,992,390,1022,1999,772,8755,5,12.273731294003989
942,4,1440,0,1440,0,1440,1977,1440,7711,3,11.918390573078392
943,5,1632,2,1632,576,1632,1967,0,25000,4,11.870599909242044
944,6,1344,2,819,525,1344,1958,111,14375,6,11.831379196088763
945,5,1869,2,1088,456,1188,1890,1088,8820,6,11.73526869611367
946,5,1144,1,1144,796,1144,1959,748,8163,6,11.870599909242044
947,8,1629,3,1616,808,1629,2002,1300,14536,5,12.506177237980511
948,7,1776,2,936,474,936,2002,0,14006,5,12.167851432709975
949,6,1381,2,1161,676,1381,1972,982,9360,7,12.193493863323313
950,5,864,2,864,720,864,1950,398,7200,8,11.76756768334381
951,5,965,1,828,300,965,1965,641,7800,5,11.694413341015606
952,5,768,1,768,396,768,1972,660,7200,8,11.804848531679264
953,5,1968,2,784,530,1168,1969,562,11075,4,12.05524975579559
954,6,980,0,945,0,980,1975,945,9400,5,11.755871643580617
955,6,1958,2,979,492,979,1946,484,7136,6,11.884489021402711
956,6,1229,2,561,462,561,1980,285,1300,6,11.728036844587175
957,5,1057,2,1057,576,1057,1962,417,7420,5,11.790557201568507
958,7,1337,2,1337,531,1337,2003,699,8450,5,12.128111104060462
959,7,1416,2,696,484,696,1999,604,2572,5,11.951180395901384
960,5,858,0,858,0,858,1958,696,7207,7,11.665646551987892
961,6,2872,2,1330,619,1542,1977,896,12227,7,12.513557345278134
962,6,1548,2,804,440,804,1976,556,2308,6,11.951180395901384
964,7,1894,2,817,510,824,2002,624,11316,5,12.277928082630602
965,6,1484,2,783,393,783,2005,0,10237,5,12.09458226949681
966,5,1308,1,728,256,976,1940,428,9600,7,11.982929094215963
967,5,1098,1,1098,260,1098,1955,902,7390,7,11.813030057420567
968,3,968,0,600,0,600,1910,0,5925,6,10.542706391070517
969,6,1095,1,588,264,1095,1958,513,10382,5,11.84939770159144
970,4,1192,0,720,0,720,1949,0,10800,4,11.813030057420567
971,7,1626,2,764,474,764,2003,567,2268,5,12.061046873479915
972,6,918,1,918,264,918,1979,0,7892,5,11.507912923146684
973,7,1428,2,1428,480,1428,2007,0,11639,5,12.111761966058932
974,7,2019,2,728,532,1136,1910,0,11414,8,12.028738630247258
975,7,1382,2,673,490,673,2000,641,2651,5,12.013700752882718
976,4,869,0,440,0,869,1923,0,5900,7,11.356271654924852
977,7,1241,2,1241,569,1241,2006,1106,4274,5,12.205572520488492
978,4,894,2,894,400,894,1954,552,9450,5,11.608235644774552
979,5,1121,2,1121,480,1121,1963,651,8816,6,11.842229212112828
980,7,999,2,944,588,999,1961,867,12122,9,12.091783499128047
981,8,2612,3,1225,676,1276,1998,854,12203,5,12.724866438945341
982,7,1266,2,1266,388,1266,2007,0,3182,5,11.982272628789678
983,8,2290,2,1128,779,1149,2002,0,11250,5,12.45254202214788
985,5,1164,1,1164,240,1164,1950,1040,10880,5,11.736069016284437
986,6,1635,1,485,255,1001,1910,0,5310,8,11.669929213779893
987,9,1940,3,1930,606,1940,2009,1646,10159,5,12.88712700173598
988,6,2030,2,848,551,1118,1976,156,12046,6,12.180754837545884
989,7,1576,2,770,614,778,2006,0,8125,5,12.190959007720126
990,8,2392,3,1396,870,1407,1997,1074,9452,5,12.759957758756611
991,8,1742,2,916,424,916,1882,216,17671,9,12.031719258385396
992,6,1851,2,822,440,1020,1964,536,9760,8,12.138863895836725
993,6,1500,2,750,564,750,2005,0,8846,5,12.066235700342375
994,10,1718,3,1700,786,1718,2006,1172,12456,5,12.729320789294722
995,4,1230,1,747,305,774,1946,384,4712,7,11.708492248514204
996,5,1050,1,1050,368,1050,1961,915,10659,6,11.824079893607152
997,6,1442,2,1442,615,1442,1970,0,11717,6,12.128111104060462
998,3,1077,1,1007,210,1077,1922,0,9786,4,11.418614785498987
999,7,1208,2,1187,632,1208,2006,686,6762,5,12.235631447771718
1001,5,691,1,691,216,691,1920,0,5400,6,11.362102575235644
1002,8,1574,3,1574,824,1574,2006,24,11957,5,12.354492650648448
1003,5,1680,2,1680,528,1680,1976,0,11500,6,11.827042533619087
1004,7,1504,2,1346,457,1504,2005,16,3182,5,12.106252310247962
1005,5,985,1,985,328,985,1977,595,8385,8,11.917723684090689
1006,6,1657,2,1657,484,1657,1970,1237,12155,3,12.004568269319446
1007,4,1092,1,546,286,546,1970,273,2217,4,11.385092093460344
1009,5,1522,0,1008,0,1008,1926,0,6000,5,11.532728092266408
1010,5,1271,1,720,312,720,1948,0,21286,5,11.813030057420567
1012,6,1502,1,602,180,900,1923,0,10592,7,12.013700752882718
1013,5,1022,1,1022,280,1022,1910,247,7200,4,11.350406535472453
1014,6,1082,1,1082,240,1082,1948,336,11664,5,11.688558033613386
1015,8,1665,2,810,528,810,2001,643,8400,6,12.332705296463539
1016,7,1504,2,1504,478,1504,1996,690,11883,5,12.220961258023925
1017,8,1360,2,1220,565,1360,1984,1036,5814,5,12.141534124392603
1018,7,1472,2,384,402,802,1991,0,10784,5,11.982929094215963
1019,7,1506,2,1362,440,1506,2005,16,3013,5,12.27134527214637
1020,4,1132,2,1132,451,1132,2005,1024,7024,5,12.078239274020289
1021,7,1220,2,1199,632,1220,2006,684,7406,5,12.175613438045465
1022,5,1248,1,912,160,912,1930,324,9439,5,11.37366339763672
1023,7,1504,2,1346,437,1504,2005,16,3182,5,12.160028707028767
1025,5,882,2,882,461,882,1972,138,7700,5,11.630708500626612
1026,5,1264,2,1268,461,1264,1960,697,9300,5,12.028738630247258
1027,8,1646,3,1638,800,1646,2007,1513,9520,5,12.588190652108505
1028,5,1376,1,768,240,968,1941,368,9492,5,11.56171562913966
1029,6,1218,1,672,264,672,1972,317,1680,7,11.678439903447801
1030,5,1928,0,686,0,948,1916,0,7082,8,11.982929094215963
1031,7,3082,2,824,672,1687,1920,523,15863,3,12.190959007720126
1032,8,2520,3,1338,796,1352,1993,1012,14541,7,12.644327576461329
1033,7,1654,3,1654,900,1654,2002,986,8125,5,12.345834587905333
1034,5,954,1,920,240,954,1938,0,6305,7,11.693161515273161
1036,9,1620,3,1620,912,1620,2007,1022,12898,5,12.661913960963405
1037,8,2263,2,1055,905,1055,2001,0,9240,5,12.567237494741757
1038,4,1344,0,546,0,798,1970,0,1533,6,11.48246625748552
1039,4,630,1,630,286,630,1970,509,1477,4,11.289781913656018
1040,5,1803,2,1134,484,1803,1957,168,13125,4,11.951180395901384
1041,6,1632,2,800,484,800,1966,400,9130,8,12.061046873479915
1042,6,1306,2,1306,624,1306,2005,900,5381,5,12.185869938212655
1043,7,2329,2,1475,514,1532,1990,1085,11839,5,12.477167914377556
1047,5,990,2,990,672,990,1994,686,9245,5,11.884489021402711
1050,7,1302,2,1302,436,1302,2007,0,8993,5,12.080991165908294
1051,7,1316,2,1316,440,1316,2007,0,11175,5,12.206777397134413
1052,6,1977,2,816,540,1127,1964,442,9500,6,12.013700752882718
1053,5,1526,1,1216,364,1526,1957,383,8562,6,11.881034786534624
1054,8,1989,2,1065,586,1091,2002,932,11367,5,12.449018824140563
1055,6,1523,2,1193,478,1523,1976,644,11361,5,12.100712129872347
1056,7,1364,2,1364,484,1364,2005,659,7052,5,12.132695175725399
1057,7,1850,2,973,467,979,1994,595,29959,6,12.421184025147118
1058,9,2184,3,1104,836,1130,2008,936,11308,5,12.721885810807203
1059,6,1991,2,854,432,1096,1932,297,11275,7,12.301382825334498
1060,8,1338,2,1338,582,1338,2001,616,4920,5,12.271392111650817
1061,3,894,3,894,1248,894,1935,0,18000,4,11.302204433654575
1062,5,2337,2,662,560,1422,1900,0,13600,5,11.407564949312402
1063,6,1103,2,1103,440,1103,1925,397,6000,6,11.612770799939945
1064,5,1154,2,1154,480,1154,1966,740,11000,6,11.944707881395766
1065,7,2260,2,1306,533,1306,1996,1201,14000,5,12.70076888736628
1066,6,1571,2,799,380,799,1993,0,7837,7,12.089538829274222
1067,6,1611,2,780,442,798,1964,674,9760,6,12.031123843065632
1068,6,2521,2,942,576,1291,1973,837,3964,4,11.927680619985486
1069,5,893,2,845,576,893,1949,220,9600,7,11.813030057420567
1070,5,1048,1,1048,286,1048,1956,586,10152,5,11.813030057420567
1071,6,1556,2,727,441,829,1968,298,11700,6,11.944707881395766
1072,5,1456,1,810,280,1002,1948,0,7585,3,11.424094251263613
1073,6,1426,2,690,440,698,1977,535,7950,6,11.979799201207037
1074,7,1240,3,1240,826,1240,2006,0,8556,5,12.175613438045465
1075,7,1740,1,800,240,960,1940,410,13125,6,12.299107511497363
1076,5,1466,2,796,566,1096,1936,626,10800,8,12.043553716032399
1077,5,1096,1,1096,299,1096,1969,75,15870,5,11.840789327054841
1078,6,848,2,848,420,848,2004,662,4435,5,11.956970055045868
1079,5,990,1,990,299,990,1994,495,8775,5,11.744037185933616
1080,6,1258,2,1258,528,1258,1971,656,11040,7,11.884489021402711
1081,5,1040,1,1040,308,1040,1963,824,7500,5,11.79810440720389
1082,7,1459,2,1459,527,1459,2002,0,8749,5,12.165250651009918
1083,6,1251,1,1251,461,1251,1964,553,8800,6,11.982929094215963
1084,6,1498,2,691,409,691,1995,592,13031,5,12.141534124392603
1085,6,996,2,936,564,996,1992,747,9069,6,11.898187865760873
1086,4,1092,1,546,286,546,1973,334,1974,5,11.332601910838946
1087,8,1953,3,1082,1043,1082,2005,0,10574,5,12.437184366493561
1088,7,1709,2,970,380,970,2004,0,2522,5,11.831379196088763
1089,8,1247,2,1247,550,1247,2005,1039,3316,5,12.190959007720126
1091,7,1252,2,600,462,624,1999,510,2160,5,11.982929094215963
1092,6,1694,2,1181,576,1390,1925,423,8400,5,11.824079893607152
1093,5,1200,2,864,884,1200,1965,661,9230,8,11.891361900690473
1094,5,936,1,936,308,936,1956,248,5868,7,11.76756768334381
1095,6,1314,2,1314,440,1314,2006,24,9317,5,12.08069081199846
1096,6,1355,0,684,0,773,1914,0,6882,7,11.751942365440728
1097,8,1088,2,1074,461,1088,1986,0,3696,5,12.043553716032399
1098,4,1324,1,672,240,757,1936,672,6000,6,11.759785542901755
1099,7,1601,2,1271,478,1601,1978,704,11880,5,11.964001084330445
1100,2,438,1,290,246,438,1920,290,8400,5,11.002099841204238
1101,5,950,1,950,280,950,1971,412,9758,5,11.691071650353702
1102,5,1134,1,1010,254,1134,1960,588,7000,7,11.813030057420567
1103,6,1194,2,655,539,1194,1959,655,8910,6,11.979799201207037
1104,5,1302,2,630,440,630,1970,0,2016,5,11.571194373094205
1105,8,2622,2,1463,712,1500,1994,1032,12256,5,12.691580461311874
1106,7,1442,2,910,719,1442,1990,738,10357,5,12.100156419938624
1107,7,2021,2,868,422,887,2006,0,23257,5,12.523525876315125
1108,6,1690,2,924,463,948,2000,0,8063,5,12.106252310247962
1109,8,1836,3,1836,862,1836,2004,1039,11362,5,12.542544882151386
1110,6,1658,2,773,431,773,1995,219,8000,5,12.144197241812087
1111,7,1964,2,803,483,1098,1976,403,10480,6,12.230765258120545
1112,5,816,1,816,308,816,1957,708,7100,7,11.77452020265869
1113,5,1008,1,1008,240,1008,1953,643,8923,7,11.809319478024031
1114,5,833,1,833,326,833,1954,415,5400,7,11.669929213779893
1115,8,1734,3,1734,928,1734,2007,1004,12085,5,12.669806661762314
1116,8,1419,2,408,527,779,2002,353,7750,5,12.123234367221169
1117,5,894,2,894,450,894,1967,702,9764,7,11.77528972943772
1118,5,1601,1,533,300,1021,1958,0,13825,6,11.84939770159144
1119,5,1040,1,1040,286,1040,1959,369,7560,5,11.803353763090035
1120,6,1012,1,1012,308,1012,1920,0,8263,5,11.681824001432043
1121,7,1552,3,1552,782,1552,2005,24,10084,5,12.26857785088157
1122,4,960,1,672,288,960,1956,0,8926,3,11.626254150277232
1123,5,698,0,698,0,698,1947,0,9405,9,11.678439903447801
1124,7,1482,2,384,392,812,1992,0,9125,5,12.00701176473192
1125,4,1005,2,1005,672,1005,1955,0,10434,5,11.652687407345388
1126,7,1555,3,1373,660,1555,2007,0,3684,5,12.066810578196666
1127,7,1530,3,1530,630,1530,2004,1300,14572,5,12.464583340681674
1128,7,1959,2,847,434,847,2004,0,11796,5,12.2783933071098
1129,5,936,2,936,672,936,1980,936,7200,5,11.84939770159144
1130,4,1981,2,1122,576,1328,1928,622,7804,3,11.813030057420567
1131,5,974,0,974,0,974,1991,212,10712,5,11.44571671527678
1132,6,2210,1,1008,205,1178,1880,0,9900,4,11.67419361256635
1133,8,2020,2,1128,466,1142,1995,584,9828,5,12.386308695833106
1134,6,1600,2,916,460,916,1997,0,8773,5,12.037653993905211
1135,6,986,1,960,180,986,1926,0,6180,5,11.532728092266408
1136,6,1252,1,1032,288,1032,1950,280,9600,5,11.686878772093667
1137,5,1020,0,780,0,780,1875,0,6342,8,11.451050061252142
1138,6,1567,2,1567,714,1567,1977,1567,9819,5,12.185869938212655
1139,5,1167,2,915,495,1167,1920,645,8731,5,11.877568578558138
1140,5,952,2,952,840,952,1951,852,7350,7,11.842229212112828
1141,5,1868,2,780,484,1088,1976,381,10304,7,12.193493863323313
1142,8,2828,3,1466,1052,1466,2006,1150,9965,5,12.959538518762063
1143,5,1006,0,1006,0,1006,1959,288,9000,3,11.289781913656018
1144,4,924,1,672,280,672,1941,348,12180,4,11.289781913656018
1145,5,1576,1,1042,225,1042,1928,0,6240,6,11.911701584927597
1146,6,1298,2,1298,403,1298,1985,1258,11200,5,12.100712129872347
1147,7,1564,1,704,234,860,1941,275,12000,7,12.069680020624618
1148,7,1111,1,572,288,572,1926,0,5700,7,11.66907414746016
1149,7,1482,2,650,324,832,1920,624,9000,9,11.870599909242044
1150,6,932,1,932,306,932,1950,0,8280,5,11.728036844587175
1151,5,1466,2,1466,528,1466,1959,176,17755,4,11.917723684090689
1152,6,1811,2,1073,470,1811,1956,296,14115,7,12.345834587905333
1153,6,816,1,816,432,816,1930,538,5890,8,11.699405031912846
1154,7,1820,2,864,492,902,1965,454,13700,6,12.215032386901646
1155,5,1437,2,1437,528,1437,1976,1157,10768,8,12.292250341771226
1156,5,1265,2,1219,502,1265,1965,633,9350,8,12.100156419938624
1157,7,1314,2,1314,626,1314,2007,904,5001,5,12.345834587905333
1158,8,1580,3,1580,830,1580,2007,0,11932,5,12.367885325692589
1159,6,1876,2,901,540,943,1974,442,9120,6,12.128111104060462
1160,6,1456,2,855,440,855,1978,311,2280,5,11.891361900690473
1161,6,1640,2,1296,924,1640,1954,728,14778,7,12.319401330837177
1162,5,894,2,894,450,894,1968,492,8724,5,11.76756768334381
1163,4,1258,2,1198,400,1258,1969,1198,12900,4,11.598726943661342
1164,5,1432,2,1360,588,1432,1978,680,16157,7,12.175613438045465
1165,7,1502,2,1502,644,1502,2009,0,9541,5,12.359523080243038
1167,6,1671,2,959,472,959,2000,786,10852,5,12.061046873479915
1168,6,2108,2,1127,540,1236,1935,626,13728,7,12.367340793126296
1169,10,3627,3,1930,807,1831,1995,1387,35760,5,13.345506928718539
1170,6,1118,1,1096,358,1118,1977,522,9880,6,12.049418835484797
1171,6,1261,2,1261,433,1261,1958,662,9120,6,12.0015054797889
1172,7,1250,2,625,625,625,2006,0,4017,5,12.05466819137094
1173,5,3086,0,1598,0,1636,1946,152,18030,6,12.20856952572876
1174,6,2345,2,952,360,1170,1932,503,16560,8,12.384218830913648
1176,5,923,1,876,264,923,1984,658,6951,5,11.691071650353702
1177,6,1224,1,818,210,818,1926,468,3950,8,11.652687407345388
1178,5,1343,1,731,186,820,1921,0,7681,6,11.95053502640496
1180,7,2514,2,1216,693,1298,1990,1216,11170,5,12.429216196844383
1181,8,1652,2,1600,482,1652,2008,1480,5587,5,12.8802918162046
1183,5,1130,2,1120,720,1130,1920,821,10800,6,11.695247021764184
1184,5,1572,3,1572,995,1572,1963,1159,35133,4,12.137258329529814
1185,5,1221,1,784,392,949,1924,392,9738,7,11.560762794384388
1186,3,1699,2,978,420,1014,1900,440,10615,5,11.461632170582678
1187,8,1624,3,1624,757,1624,1994,1456,12461,5,12.476099782743233
1188,7,1660,2,831,493,831,2002,0,8935,5,12.180754837545884
1189,7,1804,2,994,442,1028,1999,0,7500,5,12.14950229404178
1190,4,1622,4,1249,1356,1622,1961,1159,32463,4,12.031719258385396
1191,8,1441,2,776,492,764,1999,0,2645,5,12.066810578196666
1192,5,1472,1,702,250,842,1925,0,9600,8,11.736069016284437
1193,6,1224,2,1224,402,1224,1999,883,4500,5,12.013700752882718
1194,6,1352,1,663,299,663,1969,371,9364,7,11.970350312009105
1195,6,1456,2,728,400,728,2005,0,8029,5,12.078239274020289
1196,7,1863,3,879,660,879,2006,0,14054,5,12.297785453453374
1197,7,1690,1,815,225,815,1916,0,8850,6,11.877568578558138
1198,7,1212,2,1212,573,1212,2001,0,9100,5,12.089538829274222
1199,4,1382,2,1051,459,1382,1963,547,11235,5,11.904967552746252
1200,4,864,1,864,280,864,1970,0,9353,5,11.661776411702583
1201,7,1779,2,866,546,866,1998,0,10400,5,12.195517131590657
1202,5,1348,1,884,216,884,1925,0,6000,8,11.669929213779893
1203,7,1630,2,1630,451,1630,2000,0,9750,5,12.269047444691562
1204,5,1074,2,1056,495,1074,1975,788,10140,6,11.941455846009388
1206,4,1056,1,1056,384,1056,1966,1056,8900,4,11.580584113444043
1207,6,1700,2,1682,544,1700,2003,340,9135,5,12.206072645530174
1208,5,1283,2,931,506,1283,1962,504,7763,7,11.84939770159144
1209,8,1660,2,1660,500,1660,2006,1220,10182,5,12.577636201962656
1210,6,1845,2,1055,462,1055,1992,0,11218,5,12.14950229404178
1211,8,1752,2,559,492,1080,1988,427,12134,7,12.007621706806335
1212,4,672,1,672,234,672,1941,344,9340,6,11.635143097694478
1213,4,960,1,648,364,960,1965,648,10246,9,11.884489021402711
1214,5,999,1,925,300,999,1962,784,10205,5,11.809319478024031
1215,5,894,1,894,384,894,1966,180,7094,5,11.736069016284437
1217,8,1314,2,1300,552,1314,2009,936,8640,5,12.343466568968994
1219,6,1218,0,672,0,672,1971,0,1680,5,11.424094251263613
1220,5,912,1,912,288,912,1964,312,7800,5,11.652687407345388
1221,5,1211,1,952,322,1211,1968,250,8250,5,11.805595078933049
1222,6,1846,1,1040,315,1168,1949,196,10496,6,11.870599909242044
1224,7,1490,2,788,388,788,2004,724,15384,5,12.122691036591123
1225,6,1138,1,588,264,1138,1958,507,10482,8,11.884489021402711
1226,6,1933,3,894,668,894,2007,0,14598,5,12.273731294003989
1227,5,912,2,912,576,912,1965,595,8872,8,11.898187865760873
1228,9,1702,3,1702,1052,1702,2008,1540,8769,5,12.813917896253697
1229,5,1507,1,1075,404,1507,1960,666,7910,5,11.751942365440728
1230,5,2620,2,1361,600,1361,1977,498,18890,5,12.154779351142624
1231,5,1190,2,1106,540,1190,1962,803,7728,6,11.794337924408413
1233,5,1188,2,1188,531,1188,1959,1000,12160,5,11.863582336583399
1234,5,1964,0,940,0,1024,1911,0,8525,6,11.77528972943772
1235,5,1784,1,747,180,892,1914,0,13132,5,11.841415931849784
1236,7,1626,2,764,474,764,2003,0,2628,5,12.075394321888057
1237,7,1948,2,847,434,847,2004,0,12393,5,12.180754837545884
1238,6,1141,2,1141,484,1141,2005,0,13072,5,11.867097278690842
1239,8,1484,2,1476,472,1484,2006,428,9037,5,12.490875577231112
1240,7,1768,2,884,543,884,2003,550,8158,5,12.323411137947407
1242,7,1173,2,1053,528,1173,1974,885,10625,6,12.043553716032399
1244,8,1517,2,792,400,792,1929,0,11435,7,12.345834587905333
1245,6,1868,2,585,477,1140,1984,0,12090,7,12.089538829274222
1246,7,1553,2,756,615,756,2005,0,8125,5,12.136186518066006
1247,6,1034,3,1012,888,1034,1976,539,12328,5,12.042965307660024
1248,6,2058,2,735,396,1134,1917,319,9600,5,11.771436160121729
1249,5,988,1,876,276,988,1950,534,7200,7,11.686878772093667
1251,7,1405,2,1405,478,1405,2003,0,3136,5,12.053795210084596
1252,5,874,1,864,288,874,1968,510,9858,6,11.77528972943772
1253,7,2167,2,1192,518,1516,1974,125,17542,7,12.591335046320818
1254,7,1656,2,746,397,760,2003,0,6931,5,12.016122061571728
1255,6,1367,1,884,560,959,1931,425,6240,6,11.755871643580617
1257,5,864,0,864,0,864,1922,0,4060,8,11.511924964636645
1258,7,1166,2,856,400,1166,2005,655,9587,5,12.154779351142624
1259,6,1054,2,1054,460,1054,1969,602,9750,8,11.925035115797062
1260,6,1675,2,841,502,892,1999,0,24682,5,12.106252310247962
1261,5,1050,1,1050,338,1050,1956,504,9600,6,11.766792188927278
1262,4,1788,1,1104,304,1104,1957,0,11250,5,11.992260421644849
1263,6,1824,2,764,520,1060,1919,0,13515,6,12.103486056755072
1264,6,1337,2,1405,511,1337,1998,266,4060,5,12.106252310247962
1265,7,1452,2,691,506,713,1999,450,3735,5,12.122147410592412
1266,7,1889,1,925,308,964,1910,0,10120,4,11.711776323715394
1268,8,3447,3,728,1014,1968,1935,192,14100,9,12.850554654108839
1269,5,1524,1,874,315,874,1958,460,11344,5,11.877568578558138
1270,7,1524,2,1332,586,1332,1979,1258,23595,6,12.468436909997665
1271,6,1489,2,1489,462,1489,1968,0,9156,7,12.132156962580005
1272,5,935,1,935,288,935,1965,560,13526,6,11.827736204810263
1273,6,1357,1,1019,312,1357,1959,719,11512,7,12.083905011555967
1274,5,1250,2,661,552,661,1910,0,5362,6,11.842229212112828
1275,5,1920,2,928,400,928,1948,220,11345,5,11.827736204810263
1276,6,1395,2,723,497,735,1972,593,12936,6,11.99535161421452
1277,6,1724,2,1680,480,1724,1967,528,17871,5,12.195517131590657
1278,8,2031,2,1128,577,1128,2002,804,9473,5,12.375815420117268
1279,4,1128,2,698,528,698,1920,0,7500,4,11.133128103610641
1280,7,1573,2,1573,544,1573,2002,788,9808,5,12.332705296463539
1281,7,1339,2,1309,484,1339,1990,1053,8049,5,12.100712129872347
1282,5,1040,2,1040,484,1040,1977,532,8800,7,11.921718363171067
1283,6,1824,0,912,0,912,1971,0,9400,5,11.842229212112828
1284,6,2447,1,804,336,1699,1919,0,9638,7,12.037653993905211
1285,6,1412,1,780,280,825,1939,0,6000,6,11.794337924408413
1286,6,1328,2,1328,528,1328,1963,569,9790,5,11.870599909242044
1287,5,1582,2,1624,390,1582,1964,812,36500,5,12.154779351142624
1288,8,1659,2,1501,499,1659,2000,1158,5664,5,12.535376392672774
1289,8,1970,3,1085,753,1120,2006,0,11065,5,12.546109948315882
1290,5,1152,2,1152,484,1152,1964,1014,14112,7,12.103486056755072
1291,5,1302,1,630,264,630,1972,231,1680,7,11.691071650353702
1292,5,2372,1,994,432,1378,1892,0,6600,4,11.585246126549855
1293,7,1664,2,832,528,832,1976,194,10140,5,12.000891794590137
1294,5,864,2,864,572,864,1955,167,8172,7,11.652687407345388
1295,5,1052,1,1052,288,1052,1968,1016,8400,5,11.83862560460953
1296,5,1128,2,1120,525,1128,1963,776,8700,6,11.951180395901384
1297,6,1072,2,547,525,1072,2005,547,3675,5,11.84939770159144
1299,5,1246,1,1246,305,1246,1959,340,7500,7,11.944707881395766
1300,7,1983,2,978,490,1005,1999,694,10762,5,12.323855681186558
1301,6,1494,1,771,213,753,1942,547,7500,7,12.086725887897607
1302,8,2526,3,1165,844,1203,1994,740,10120,5,12.577636201962656
1303,7,1616,3,1616,834,1616,2005,0,8688,5,12.354492650648448
1304,7,1708,2,976,380,976,2004,0,3363,5,11.77528972943772
