,OverallQual,GrLivArea,YearBuilt,GarageCars,TotalBsmtSF,1stFlrSF,BsmtFinSF1,LotArea,CentralAir,OverallCond,SalePrice_log
870,5,894,1962,1,894,894,0,6600,2,5,11.603679828238693
871,6,1682,1998,2,804,804,505,8750,1,5,12.20856952572876
872,5,910,1953,2,105,910,0,8892,1,7,11.661345470088502
873,5,1268,1949,1,832,1036,375,12144,1,7,11.79810440720389
874,5,1131,1941,1,676,676,0,5720,1,6,11.104957226643945
875,8,2610,2007,2,1184,1184,64,9000,1,5,12.623061104072981
876,4,1040,1963,2,1064,1040,633,25286,1,5,11.792449349720545
877,9,2224,2004,3,1462,1462,1170,8834,1,5,12.765688433465597
878,5,1155,1961,2,1109,1155,899,11782,1,7,11.904967552746252
879,5,864,1978,1,864,864,646,7000,1,8,11.824079893607152
880,5,1090,2005,2,1090,1090,980,7024,1,5,11.964001084330445
881,7,1717,1990,2,1156,1187,902,13758,1,5,12.141534124392603
882,6,1593,1992,2,808,808,0,9636,1,5,12.089538829274222
883,4,2230,1912,1,795,954,0,6204,2,5,11.682668239557323
884,5,892,1967,1,892,892,432,7150,1,5,11.512925464970229
885,9,1709,1999,2,1698,1709,1238,5119,1,5,12.703509032177148
886,5,1712,1959,2,1626,1712,528,8393,1,5,11.884489021402711
887,5,1393,1955,1,816,872,0,16466,1,7,11.816726919301892
889,6,1505,1953,2,1505,1505,1024,12160,1,4,11.915051671812877
890,5,924,1949,2,672,672,0,8064,1,7,11.719126295554126
891,6,1683,1978,2,918,918,226,11184,1,5,12.058152515453552
892,6,1068,1963,1,1059,1068,663,8414,1,8,11.947949375319936
893,5,1383,1954,1,1383,1383,1064,13284,1,5,12.013700752882718
895,6,1796,1963,2,780,983,400,7056,1,5,11.84939770159144
896,4,951,1936,1,951,951,285,8765,2,6,11.575900264131617
899,5,1236,1961,1,912,1236,465,6993,1,7,11.813030057420567
900,4,858,1971,1,858,858,322,7340,1,6,11.608235644774552
901,5,1306,1957,1,992,1306,860,8712,1,7,11.938193200374572
902,7,1509,2003,2,783,807,0,7875,1,5,12.100712129872347
903,7,1670,2006,3,1670,1670,0,14859,1,5,12.388394202324129
904,5,902,1967,1,876,902,599,6173,1,6,11.740061037553975
905,5,1063,1954,1,1056,1063,354,9920,1,5,11.759785542901755
906,8,1636,2006,3,1623,1636,63,13501,1,5,12.449018824140563
907,7,2057,1936,1,1017,1020,223,11500,1,7,12.429216196844383
908,5,902,1983,2,864,902,301,8885,1,5,11.782952602183288
909,6,1484,2005,2,742,742,0,12589,1,5,12.066810578196666
910,5,2274,1960,2,1105,1105,443,11600,1,5,11.946654038351252
911,5,1268,1977,1,1268,1268,196,9286,1,7,11.874090314181814
912,5,1015,1925,1,768,1015,489,6120,2,7,11.385092093460344
913,5,2002,1949,3,1001,1001,284,6270,2,6,11.884489021402711
914,6,1224,2009,2,612,612,294,3000,1,5,12.065274916913605
915,4,1092,1970,1,546,546,0,2001,1,5,11.225243392518447
916,2,480,1949,1,480,480,50,9000,2,3,10.47194980911048
917,4,1229,1956,1,1134,1229,1059,17140,1,6,11.813030057420567
918,7,2127,1991,3,1104,912,48,13125,1,5,12.380025952653611
919,6,1414,1958,2,1184,1414,528,11029,1,8,12.081076155355488
920,6,1721,1994,2,928,936,814,8462,1,5,12.211060187041213
921,5,2200,1900,0,1272,1272,1084,8777,1,7,11.890676734510876
922,6,1316,2005,2,1316,1316,28,10237,1,5,12.043494890772815
923,6,1617,1993,2,1604,1617,165,8012,1,5,12.170445467887022
924,6,1686,1980,2,1686,1686,625,10240,1,6,12.24288661865289
925,5,1126,1977,2,1126,1126,767,15611,1,6,12.072541252905651
926,8,2374,2003,3,1181,1234,0,11999,1,5,12.560244459250788
927,7,1978,1968,2,832,1098,552,9900,1,5,12.078239274020289
929,7,2236,1997,2,964,993,0,13006,1,5,12.310432660854417
930,8,1466,2007,3,1466,1466,16,8925,1,5,12.211060187041213
931,5,925,1965,1,925,925,338,9100,1,6,11.67419361256635
933,7,1500,2004,2,1500,1500,20,8487,1,5,12.154779351142624
935,4,747,1926,2,600,747,0,5825,1,5,11.288531131754366
936,7,1200,2003,2,1176,1200,833,10083,1,5,12.127570417375216
937,7,1971,2005,2,1113,1113,341,9675,1,5,12.441144767709657
938,7,1962,2006,3,1391,1391,464,8760,1,5,12.38755635142507
939,7,2403,1940,1,1032,1207,0,24090,1,7,12.406561506279576
940,6,1728,1976,2,1728,1728,936,12640,1,5,11.924372644755941
941,7,2060,1999,2,992,1022,772,8755,1,5,12.273731294003989
942,4,1440,1977,0,1440,1440,1440,7711,1,3,11.918390573078392
943,5,1632,1967,2,1632,1632,0,25000,1,4,11.870599909242044
944,6,1344,1958,2,819,1344,111,14375,1,6,11.831379196088763
945,5,1869,1890,2,1088,1188,1088,8820,1,6,11.73526869611367
946,5,1144,1959,1,1144,1144,748,8163,1,6,11.870599909242044
947,8,1629,2002,3,1616,1629,1300,14536,1,5,12.506177237980511
948,7,1776,2002,2,936,936,0,14006,1,5,12.167851432709975
949,6,1381,1972,2,1161,1381,982,9360,1,7,12.193493863323313
950,5,864,1950,2,864,864,398,7200,1,8,11.76756768334381
951,5,965,1965,1,828,965,641,7800,1,5,11.694413341015606
952,5,768,1972,1,768,768,660,7200,1,8,11.804848531679264
953,5,1968,1969,2,784,1168,562,11075,1,4,12.05524975579559
954,6,980,1975,0,945,980,945,9400,1,5,11.755871643580617
955,6,1958,1946,2,979,979,484,7136,2,6,11.884489021402711
956,6,1229,1980,2,561,561,285,1300,1,6,11.728036844587175
957,5,1057,1962,2,1057,1057,417,7420,1,5,11.790557201568507
958,7,1337,2003,2,1337,1337,699,8450,1,5,12.128111104060462
959,7,1416,1999,2,696,696,604,2572,1,5,11.951180395901384
960,5,858,1958,0,858,858,696,7207,1,7,11.665646551987892
961,6,2872,1977,2,1330,1542,896,12227,1,7,12.513557345278134
962,6,1548,1976,2,804,804,556,2308,1,6,11.951180395901384
964,7,1894,2002,2,817,824,624,11316,1,5,12.277928082630602
965,6,1484,2005,2,783,783,0,10237,1,5,12.09458226949681
966,5,1308,1940,1,728,976,428,9600,1,7,11.982929094215963
967,5,1098,1955,1,1098,1098,902,7390,1,7,11.813030057420567
968,3,968,1910,0,600,600,0,5925,2,6,10.542706391070517
969,6,1095,1958,1,588,1095,513,10382,1,5,11.84939770159144
970,4,1192,1949,0,720,720,0,10800,2,4,11.813030057420567
971,7,1626,2003,2,764,764,567,2268,1,5,12.061046873479915
972,6,918,1979,1,918,918,0,7892,1,5,11.507912923146684
973,7,1428,2007,2,1428,1428,0,11639,1,5,12.111761966058932
974,7,2019,1910,2,728,1136,0,11414,2,8,12.028738630247258
975,7,1382,2000,2,673,673,641,2651,1,5,12.013700752882718
976,4,869,1923,0,440,869,0,5900,1,7,11.356271654924852
977,7,1241,2006,2,1241,1241,1106,4274,1,5,12.205572520488492
978,4,894,1954,2,894,894,552,9450,1,5,11.608235644774552
979,5,1121,1963,2,1121,1121,651,8816,1,6,11.842229212112828
980,7,999,1961,2,944,999,867,12122,1,9,12.091783499128047
981,8,2612,1998,3,1225,1276,854,12203,1,5,12.724866438945341
982,7,1266,2007,2,1266,1266,0,3182,1,5,11.982272628789678
983,8,2290,2002,2,1128,1149,0,11250,1,5,12.45254202214788
985,5,1164,1950,1,1164,1164,1040,10880,2,5,11.736069016284437
986,6,1635,1910,1,485,1001,0,5310,1,8,11.669929213779893
987,9,1940,2009,3,1930,1940,1646,10159,1,5,12.88712700173598
988,6,2030,1976,2,848,1118,156,12046,1,6,12.180754837545884
989,7,1576,2006,2,770,778,0,8125,1,5,12.190959007720126
990,8,2392,1997,3,1396,1407,1074,9452,1,5,12.759957758756611
991,8,1742,1882,2,916,916,216,17671,1,9,12.031719258385396
992,6,1851,1964,2,822,1020,536,9760,1,8,12.138863895836725
993,6,1500,2005,2,750,750,0,8846,1,5,12.066235700342375
994,10,1718,2006,3,1700,1718,1172,12456,1,5,12.729320789294722
995,4,1230,1946,1,747,774,384,4712,1,7,11.708492248514204
996,5,1050,1961,1,1050,1050,915,10659,1,6,11.824079893607152
997,6,1442,1970,2,1442,1442,0,11717,1,6,12.128111104060462
998,3,1077,1922,1,1007,1077,0,9786,2,4,11.418614785498987
999,7,1208,2006,2,1187,1208,686,6762,1,5,12.235631447771718
1001,5,691,1920,1,691,691,0,5400,1,6,11.362102575235644
1002,8,1574,2006,3,1574,1574,24,11957,1,5,12.354492650648448
1003,5,1680,1976,2,1680,1680,0,11500,1,6,11.827042533619087
1004,7,1504,2005,2,1346,1504,16,3182,1,5,12.106252310247962
1005,5,985,1977,1,985,985,595,8385,1,8,11.917723684090689
1006,6,1657,1970,2,1657,1657,1237,12155,1,3,12.004568269319446
1007,4,1092,1970,1,546,546,273,2217,1,4,11.385092093460344
1009,5,1522,1926,0,1008,1008,0,6000,1,5,11.532728092266408
1010,5,1271,1948,1,720,720,0,21286,1,5,11.813030057420567
1012,6,1502,1923,1,602,900,0,10592,1,7,12.013700752882718
1013,5,1022,1910,1,1022,1022,247,7200,2,4,11.350406535472453
1014,6,1082,1948,1,1082,1082,336,11664,1,5,11.688558033613386
1015,8,1665,2001,2,810,810,643,8400,1,6,12.332705296463539
1016,7,1504,1996,2,1504,1504,690,11883,1,5,12.220961258023925
1017,8,1360,1984,2,1220,1360,1036,5814,1,5,12.141534124392603
1018,7,1472,1991,2,384,802,0,10784,1,5,11.982929094215963
1019,7,1506,2005,2,1362,1506,16,3013,1,5,12.27134527214637
1020,4,1132,2005,2,1132,1132,1024,7024,1,5,12.078239274020289
1021,7,1220,2006,2,1199,1220,684,7406,1,5,12.175613438045465
1022,5,1248,1930,1,912,912,324,9439,1,5,11.37366339763672
1023,7,1504,2005,2,1346,1504,16,3182,1,5,12.160028707028767
1025,5,882,1972,2,882,882,138,7700,1,5,11.630708500626612
1026,5,1264,1960,2,1268,1264,697,9300,1,5,12.028738630247258
1027,8,1646,2007,3,1638,1646,1513,9520,1,5,12.588190652108505
1028,5,1376,1941,1,768,968,368,9492,1,5,11.56171562913966
1029,6,1218,1972,1,672,672,317,1680,1,7,11.678439903447801
1030,5,1928,1916,0,686,948,0,7082,1,8,11.982929094215963
1031,7,3082,1920,2,824,1687,523,15863,1,3,12.190959007720126
1032,8,2520,1993,3,1338,1352,1012,14541,1,7,12.644327576461329
1033,7,1654,2002,3,1654,1654,986,8125,1,5,12.345834587905333
1034,5,954,1938,1,920,954,0,6305,1,7,11.693161515273161
1036,9,1620,2007,3,1620,1620,1022,12898,1,5,12.661913960963405
1037,8,2263,2001,2,1055,1055,0,9240,1,5,12.567237494741757
1038,4,1344,1970,0,546,798,0,1533,1,6,11.48246625748552
1039,4,630,1970,1,630,630,509,1477,1,4,11.289781913656018
1040,5,1803,1957,2,1134,1803,168,13125,1,4,11.951180395901384
1041,6,1632,1966,2,800,800,400,9130,1,8,12.061046873479915
1042,6,1306,2005,2,1306,1306,900,5381,1,5,12.185869938212655
1043,7,2329,1990,2,1475,1532,1085,11839,1,5,12.477167914377556
1047,5,990,1994,2,990,990,686,9245,1,5,11.884489021402711
1050,7,1302,2007,2,1302,1302,0,8993,1,5,12.080991165908294
1051,7,1316,2007,2,1316,1316,0,11175,1,5,12.206777397134413
1052,6,1977,1964,2,816,1127,442,9500,1,6,12.013700752882718
1053,5,1526,1957,1,1216,1526,383,8562,1,6,11.881034786534624
1054,8,1989,2002,2,1065,1091,932,11367,1,5,12.449018824140563
1055,6,1523,1976,2,1193,1523,644,11361,1,5,12.100712129872347
1056,7,1364,2005,2,1364,1364,659,7052,1,5,12.132695175725399
1057,7,1850,1994,2,973,979,595,29959,1,6,12.421184025147118
1058,9,2184,2008,3,1104,1130,936,11308,1,5,12.721885810807203
1059,6,1991,1932,2,854,1096,297,11275,1,7,12.301382825334498
1060,8,1338,2001,2,1338,1338,616,4920,1,5,12.271392111650817
1061,3,894,1935,3,894,894,0,18000,1,4,11.302204433654575
1062,5,2337,1900,2,662,1422,0,13600,2,5,11.407564949312402
1063,6,1103,1925,2,1103,1103,397,6000,1,6,11.612770799939945
1064,5,1154,1966,2,1154,1154,740,11000,1,6,11.944707881395766
1065,7,2260,1996,2,1306,1306,1201,14000,1,5,12.70076888736628
1066,6,1571,1993,2,799,799,0,7837,1,7,12.089538829274222
1067,6,1611,1964,2,780,798,674,9760,1,6,12.031123843065632
1068,6,2521,1973,2,942,1291,837,3964,1,4,11.927680619985486
1069,5,893,1949,2,845,893,220,9600,1,7,11.813030057420567
1070,5,1048,1956,1,1048,1048,586,10152,1,5,11.813030057420567
1071,6,1556,1968,2,727,829,298,11700,1,6,11.944707881395766
1072,5,1456,1948,1,810,1002,0,7585,1,3,11.424094251263613
1073,6,1426,1977,2,690,698,535,7950,1,6,11.979799201207037
1074,7,1240,2006,3,1240,1240,0,8556,1,5,12.175613438045465
1075,7,1740,1940,1,800,960,410,13125,1,6,12.299107511497363
1076,5,1466,1936,2,796,1096,626,10800,1,8,12.043553716032399
1077,5,1096,1969,1,1096,1096,75,15870,1,5,11.840789327054841
1078,6,848,2004,2,848,848,662,4435,1,5,11.956970055045868
1079,5,990,1994,1,990,990,495,8775,1,5,11.744037185933616
1080,6,1258,1971,2,1258,1258,656,11040,1,7,11.884489021402711
1081,5,1040,1963,1,1040,1040,824,7500,1,5,11.79810440720389
1082,7,1459,2002,2,1459,1459,0,8749,1,5,12.165250651009918
1083,6,1251,1964,1,1251,1251,553,8800,1,6,11.982929094215963
1084,6,1498,1995,2,691,691,592,13031,1,5,12.141534124392603
1085,6,996,1992,2,936,996,747,9069,1,6,11.898187865760873
1086,4,1092,1973,1,546,546,334,1974,1,5,11.332601910838946
1087,8,1953,2005,3,1082,1082,0,10574,1,5,12.437184366493561
1088,7,1709,2004,2,970,970,0,2522,1,5,11.831379196088763
1089,8,1247,2005,2,1247,1247,1039,3316,1,5,12.190959007720126
1091,7,1252,1999,2,600,624,510,2160,1,5,11.982929094215963
1092,6,1694,1925,2,1181,1390,423,8400,1,5,11.824079893607152
1093,5,1200,1965,2,864,1200,661,9230,1,8,11.891361900690473
1094,5,936,1956,1,936,936,248,5868,1,7,11.76756768334381
1095,6,1314,2006,2,1314,1314,24,9317,1,5,12.08069081199846
1096,6,1355,1914,0,684,773,0,6882,1,7,11.751942365440728
1097,8,1088,1986,2,1074,1088,0,3696,1,5,12.043553716032399
1098,4,1324,1936,1,672,757,672,6000,1,6,11.759785542901755
1099,7,1601,1978,2,1271,1601,704,11880,1,5,11.964001084330445
1100,2,438,1920,1,290,438,290,8400,2,5,11.002099841204238
1101,5,950,1971,1,950,950,412,9758,1,5,11.691071650353702
1102,5,1134,1960,1,1010,1134,588,7000,1,7,11.813030057420567
1103,6,1194,1959,2,655,1194,655,8910,1,6,11.979799201207037
1104,5,1302,1970,2,630,630,0,2016,1,5,11.571194373094205
1105,8,2622,1994,2,1463,1500,1032,12256,1,5,12.691580461311874
1106,7,1442,1990,2,910,1442,738,10357,1,5,12.100156419938624
1107,7,2021,2006,2,868,887,0,23257,1,5,12.523525876315125
1108,6,1690,2000,2,924,948,0,8063,1,5,12.106252310247962
1109,8,1836,2004,3,1836,1836,1039,11362,1,5,12.542544882151386
1110,6,1658,1995,2,773,773,219,8000,1,5,12.144197241812087
1111,7,1964,1976,2,803,1098,403,10480,1,6,12.230765258120545
1112,5,816,1957,1,816,816,708,7100,1,7,11.77452020265869
1113,5,1008,1953,1,1008,1008,643,8923,1,7,11.809319478024031
1114,5,833,1954,1,833,833,415,5400,1,7,11.669929213779893
1115,8,1734,2007,3,1734,1734,1004,12085,1,5,12.669806661762314
1116,8,1419,2002,2,408,779,353,7750,1,5,12.123234367221169
1117,5,894,1967,2,894,894,702,9764,1,7,11.77528972943772
1118,5,1601,1958,1,533,1021,0,13825,1,6,11.84939770159144
1119,5,1040,1959,1,1040,1040,369,7560,1,5,11.803353763090035
1120,6,1012,1920,1,1012,1012,0,8263,1,5,11.681824001432043
1121,7,1552,2005,3,1552,1552,24,10084,1,5,12.26857785088157
1122,4,960,1956,1,672,960,0,8926,1,3,11.626254150277232
1123,5,698,1947,0,698,698,0,9405,1,9,11.678439903447801
1124,7,1482,1992,2,384,812,0,9125,1,5,12.00701176473192
1125,4,1005,1955,2,1005,1005,0,10434,1,5,11.652687407345388
1126,7,1555,2007,3,1373,1555,0,3684,1,5,12.066810578196666
1127,7,1530,2004,3,1530,1530,1300,14572,1,5,12.464583340681674
1128,7,1959,2004,2,847,847,0,11796,1,5,12.2783933071098
1129,5,936,1980,2,936,936,936,7200,1,5,11.84939770159144
1130,4,1981,1928,2,1122,1328,622,7804,1,3,11.813030057420567
1131,5,974,1991,0,974,974,212,10712,1,5,11.44571671527678
1132,6,2210,1880,1,1008,1178,0,9900,1,4,11.67419361256635
1133,8,2020,1995,2,1128,1142,584,9828,1,5,12.386308695833106
1134,6,1600,1997,2,916,916,0,8773,1,5,12.037653993905211
1135,6,986,1926,1,960,986,0,6180,2,5,11.532728092266408
1136,6,1252,1950,1,1032,1032,280,9600,1,5,11.686878772093667
1137,5,1020,1875,0,780,780,0,6342,2,8,11.451050061252142
1138,6,1567,1977,2,1567,1567,1567,9819,1,5,12.185869938212655
1139,5,1167,1920,2,915,1167,645,8731,1,5,11.877568578558138
1140,5,952,1951,2,952,952,852,7350,1,7,11.842229212112828
1141,5,1868,1976,2,780,1088,381,10304,1,7,12.193493863323313
1142,8,2828,2006,3,1466,1466,1150,9965,1,5,12.959538518762063
1143,5,1006,1959,0,1006,1006,288,9000,1,3,11.289781913656018
1144,4,924,1941,1,672,672,348,12180,2,4,11.289781913656018
1145,5,1576,1928,1,1042,1042,0,6240,1,6,11.911701584927597
1146,6,1298,1985,2,1298,1298,1258,11200,1,5,12.100712129872347
1147,7,1564,1941,1,704,860,275,12000,1,7,12.069680020624618
1148,7,1111,1926,1,572,572,0,5700,1,7,11.66907414746016
1149,7,1482,1920,2,650,832,624,9000,1,9,11.870599909242044
1150,6,932,1950,1,932,932,0,8280,1,5,11.728036844587175
1151,5,1466,1959,2,1466,1466,176,17755,1,4,11.917723684090689
1152,6,1811,1956,2,1073,1811,296,14115,1,7,12.345834587905333
1153,6,816,1930,1,816,816,538,5890,1,8,11.699405031912846
1154,7,1820,1965,2,864,902,454,13700,1,6,12.215032386901646
1155,5,1437,1976,2,1437,1437,1157,10768,1,8,12.292250341771226
1156,5,1265,1965,2,1219,1265,633,9350,1,8,12.100156419938624
1157,7,1314,2007,2,1314,1314,904,5001,1,5,12.345834587905333
1158,8,1580,2007,3,1580,1580,0,11932,1,5,12.367885325692589
1159,6,1876,1974,2,901,943,442,9120,1,6,12.128111104060462
1160,6,1456,1978,2,855,855,311,2280,1,5,11.891361900690473
1161,6,1640,1954,2,1296,1640,728,14778,1,7,12.319401330837177
1162,5,894,1968,2,894,894,492,8724,1,5,11.76756768334381
1163,4,1258,1969,2,1198,1258,1198,12900,1,4,11.598726943661342
1164,5,1432,1978,2,1360,1432,680,16157,1,7,12.175613438045465
1165,7,1502,2009,2,1502,1502,0,9541,1,5,12.359523080243038
1167,6,1671,2000,2,959,959,786,10852,1,5,12.061046873479915
1168,6,2108,1935,2,1127,1236,626,13728,1,7,12.367340793126296
1169,10,3627,1995,3,1930,1831,1387,35760,1,5,13.345506928718539
1170,6,1118,1977,1,1096,1118,522,9880,1,6,12.049418835484797
1171,6,1261,1958,2,1261,1261,662,9120,1,6,12.0015054797889
1172,7,1250,2006,2,625,625,0,4017,1,5,12.05466819137094
1173,5,3086,1946,0,1598,1636,152,18030,1,6,12.20856952572876
1174,6,2345,1932,2,952,1170,503,16560,1,8,12.384218830913648
1176,5,923,1984,1,876,923,658,6951,1,5,11.691071650353702
1177,6,1224,1926,1,818,818,468,3950,1,8,11.652687407345388
1178,5,1343,1921,1,731,820,0,7681,1,6,11.95053502640496
1180,7,2514,1990,2,1216,1298,1216,11170,1,5,12.429216196844383
1181,8,1652,2008,2,1600,1652,1480,5587,1,5,12.8802918162046
1183,5,1130,1920,2,1120,1130,821,10800,1,6,11.695247021764184
1184,5,1572,1963,3,1572,1572,1159,35133,1,4,12.137258329529814
1185,5,1221,1924,1,784,949,392,9738,1,7,11.560762794384388
1186,3,1699,1900,2,978,1014,440,10615,1,5,11.461632170582678
1187,8,1624,1994,3,1624,1624,1456,12461,1,5,12.476099782743233
1188,7,1660,2002,2,831,831,0,8935,1,5,12.180754837545884
1189,7,1804,1999,2,994,1028,0,7500,1,5,12.14950229404178
1190,4,1622,1961,4,1249,1622,1159,32463,1,4,12.031719258385396
1191,8,1441,1999,2,776,764,0,2645,1,5,12.066810578196666
1192,5,1472,1925,1,702,842,0,9600,1,8,11.736069016284437
1193,6,1224,1999,2,1224,1224,883,4500,1,5,12.013700752882718
1194,6,1352,1969,1,663,663,371,9364,1,7,11.970350312009105
1195,6,1456,2005,2,728,728,0,8029,1,5,12.078239274020289
1196,7,1863,2006,3,879,879,0,14054,1,5,12.297785453453374
1197,7,1690,1916,1,815,815,0,8850,1,6,11.877568578558138
1198,7,1212,2001,2,1212,1212,0,9100,1,5,12.089538829274222
1199,4,1382,1963,2,1051,1382,547,11235,1,5,11.904967552746252
1200,4,864,1970,1,864,864,0,9353,1,5,11.661776411702583
1201,7,1779,1998,2,866,866,0,10400,1,5,12.195517131590657
1202,5,1348,1925,1,884,884,0,6000,1,8,11.669929213779893
1203,7,1630,2000,2,1630,1630,0,9750,1,5,12.269047444691562
1204,5,1074,1975,2,1056,1074,788,10140,1,6,11.941455846009388
1206,4,1056,1966,1,1056,1056,1056,8900,1,4,11.580584113444043
1207,6,1700,2003,2,1682,1700,340,9135,1,5,12.206072645530174
1208,5,1283,1962,2,931,1283,504,7763,1,7,11.84939770159144
1209,8,1660,2006,2,1660,1660,1220,10182,1,5,12.577636201962656
1210,6,1845,1992,2,1055,1055,0,11218,1,5,12.14950229404178
1211,8,1752,1988,2,559,1080,427,12134,1,7,12.007621706806335
1212,4,672,1941,1,672,672,344,9340,1,6,11.635143097694478
1213,4,960,1965,1,648,960,648,10246,1,9,11.884489021402711
1214,5,999,1962,1,925,999,784,10205,1,5,11.809319478024031
1215,5,894,1966,1,894,894,180,7094,1,5,11.736069016284437
1217,8,1314,2009,2,1300,1314,936,8640,1,5,12.343466568968994
1219,6,1218,1971,0,672,672,0,1680,1,5,11.424094251263613
1220,5,912,1964,1,912,912,312,7800,1,5,11.652687407345388
1221,5,1211,1968,1,952,1211,250,8250,1,5,11.805595078933049
1222,6,1846,1949,1,1040,1168,196,10496,1,6,11.870599909242044
1224,7,1490,2004,2,788,788,724,15384,1,5,12.122691036591123
1225,6,1138,1958,1,588,1138,507,10482,1,8,11.884489021402711
1226,6,1933,2007,3,894,894,0,14598,1,5,12.273731294003989
1227,5,912,1965,2,912,912,595,8872,1,8,11.898187865760873
1228,9,1702,2008,3,1702,1702,1540,8769,1,5,12.813917896253697
1229,5,1507,1960,1,1075,1507,666,7910,1,5,11.751942365440728
1230,5,2620,1977,2,1361,1361,498,18890,1,5,12.154779351142624
1231,5,1190,1962,2,1106,1190,803,7728,1,6,11.794337924408413
1233,5,1188,1959,2,1188,1188,1000,12160,1,5,11.863582336583399
1234,5,1964,1911,0,940,1024,0,8525,2,6,11.77528972943772
1235,5,1784,1914,1,747,892,0,13132,1,5,11.841415931849784
1236,7,1626,2003,2,764,764,0,2628,1,5,12.075394321888057
1237,7,1948,2004,2,847,847,0,12393,1,5,12.180754837545884
1238,6,1141,2005,2,1141,1141,0,13072,1,5,11.867097278690842
1239,8,1484,2006,2,1476,1484,428,9037,1,5,12.490875577231112
1240,7,1768,2003,2,884,884,550,8158,1,5,12.323411137947407
1242,7,1173,1974,2,1053,1173,885,10625,1,6,12.043553716032399
1244,8,1517,1929,2,792,792,0,11435,1,7,12.345834587905333
1245,6,1868,1984,2,585,1140,0,12090,1,7,12.089538829274222
1246,7,1553,2005,2,756,756,0,8125,1,5,12.136186518066006
1247,6,1034,1976,3,1012,1034,539,12328,1,5,12.042965307660024
1248,6,2058,1917,2,735,1134,319,9600,2,5,11.771436160121729
1249,5,988,1950,1,876,988,534,7200,1,7,11.686878772093667
1251,7,1405,2003,2,1405,1405,0,3136,1,5,12.053795210084596
1252,5,874,1968,1,864,874,510,9858,1,6,11.77528972943772
1253,7,2167,1974,2,1192,1516,125,17542,1,7,12.591335046320818
1254,7,1656,2003,2,746,760,0,6931,1,5,12.016122061571728
1255,6,1367,1931,1,884,959,425,6240,1,6,11.755871643580617
1257,5,864,1922,0,864,864,0,4060,1,8,11.511924964636645
1258,7,1166,2005,2,856,1166,655,9587,1,5,12.154779351142624
1259,6,1054,1969,2,1054,1054,602,9750,1,8,11.925035115797062
1260,6,1675,1999,2,841,892,0,24682,1,5,12.106252310247962
1261,5,1050,1956,1,1050,1050,504,9600,1,6,11.766792188927278
1262,4,1788,1957,1,1104,1104,0,11250,1,5,11.992260421644849
1263,6,1824,1919,2,764,1060,0,13515,1,6,12.103486056755072
1264,6,1337,1998,2,1405,1337,266,4060,1,5,12.106252310247962
1265,7,1452,1999,2,691,713,450,3735,1,5,12.122147410592412
1266,7,1889,1910,1,925,964,0,10120,2,4,11.711776323715394
1268,8,3447,1935,3,728,1968,192,14100,1,9,12.850554654108839
1269,5,1524,1958,1,874,874,460,11344,1,5,11.877568578558138
1270,7,1524,1979,2,1332,1332,1258,23595,1,6,12.468436909997665
1271,6,1489,1968,2,1489,1489,0,9156,1,7,12.132156962580005
1272,5,935,1965,1,935,935,560,13526,1,6,11.827736204810263
1273,6,1357,1959,1,1019,1357,719,11512,1,7,12.083905011555967
1274,5,1250,1910,2,661,661,0,5362,1,6,11.842229212112828
1275,5,1920,1948,2,928,928,220,11345,1,5,11.827736204810263
1276,6,1395,1972,2,723,735,593,12936,1,6,11.99535161421452
1277,6,1724,1967,2,1680,1724,528,17871,1,5,12.195517131590657
1278,8,2031,2002,2,1128,1128,804,9473,1,5,12.375815420117268
1279,4,1128,1920,2,698,698,0,7500,1,4,11.133128103610641
1280,7,1573,2002,2,1573,1573,788,9808,1,5,12.332705296463539
1281,7,1339,1990,2,1309,1339,1053,8049,1,5,12.100712129872347
1282,5,1040,1977,2,1040,1040,532,8800,1,7,11.921718363171067
1283,6,1824,1971,0,912,912,0,9400,1,5,11.842229212112828
1284,6,2447,1919,1,804,1699,0,9638,1,7,12.037653993905211
1285,6,1412,1939,1,780,825,0,6000,1,6,11.794337924408413
1286,6,1328,1963,2,1328,1328,569,9790,1,5,11.870599909242044
1287,5,1582,1964,2,1624,1582,812,36500,1,5,12.154779351142624
1288,8,1659,2000,2,1501,1659,1158,5664,1,5,12.535376392672774
1289,8,1970,2006,3,1085,1120,0,11065,1,5,12.546109948315882
1290,5,1152,1964,2,1152,1152,1014,14112,1,7,12.103486056755072
1291,5,1302,1972,1,630,630,231,1680,1,7,11.691071650353702
1292,5,2372,1892,1,994,1378,0,6600,2,4,11.585246126549855
1293,7,1664,1976,2,832,832,194,10140,1,5,12.000891794590137
1294,5,864,1955,2,864,864,167,8172,1,7,11.652687407345388
1295,5,1052,1968,1,1052,1052,1016,8400,1,5,11.83862560460953
1296,5,1128,1963,2,1120,1128,776,8700,1,6,11.951180395901384
1297,6,1072,2005,2,547,1072,547,3675,1,5,11.84939770159144
1299,5,1246,1959,1,1246,1246,340,7500,1,7,11.944707881395766
1300,7,1983,1999,2,978,1005,694,10762,1,5,12.323855681186558
1301,6,1494,1942,1,771,753,547,7500,1,7,12.086725887897607
1302,8,2526,1994,3,1165,1203,740,10120,1,5,12.577636201962656
1303,7,1616,2005,3,1616,1616,0,8688,1,5,12.354492650648448
1304,7,1708,2004,2,976,976,0,3363,1,5,11.77528972943772
